TimeDelta,Length,Port,Protocol,Length,Info
0.000232,103,40178,TCP,103,"9877  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000228,103,40178,TCP,103,"57294  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.00023,103,40178,TCP,103,"6001  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000154,103,40178,TCP,103,"143  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000155,103,40178,TCP,103,"5900  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000149,103,40178,TCP,103,"1723  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.00016,103,40178,TCP,103,"3389  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000154,103,40178,TCP,103,"995  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000155,103,40178,TCP,103,"9877  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000151,103,40178,TCP,103,"57294  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000156,103,40178,TCP,103,"6001  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000395,109,2030,TCP,109,40178  >  2030 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000146,109,6510,TCP,109,40178  >  6510 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000155,109,3005,TCP,109,40178  >  3005 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000159,109,2030,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  2030 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,6510,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  6510 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000153,109,3005,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  3005 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000231,109,1287,TCP,109,40178  >  1287 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,3871,TCP,109,40178  >  3871 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,3268,TCP,109,40178  >  3268 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,1287,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  1287 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,3871,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  3871 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,3268,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  3268 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000459,103,40178,TCP,103,"1152  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000273,103,40178,TCP,103,"144  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000231,109,2035,TCP,109,40178  >  2035 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000154,109,497,TCP,109,40178  >  497 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000147,109,13722,TCP,109,40178  >  13722 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000311,109,497,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  497 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.000153,109,13722,TCP,109,[TCP Retransmission] [TCP Port numbers reused] 40178  >  13722 [SYN] Seq=0 Win=1024 Len=0 MSS=1460
0.00023,103,40178,TCP,103,"1152  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000151,103,40178,TCP,103,"3324  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000226,103,40178,TCP,103,"2030  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000232,103,40178,TCP,103,"6510  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000232,103,40178,TCP,103,"3005  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000228,103,40178,TCP,103,"1287  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
0.000232,103,40178,TCP,103,"3871  >  40178 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
