TimeDelta,Length,Port,Attack
0.000194000,103,40178,1
0.000144000,109,64623,1
0.000146000,103,40178,1
0.000196000,109,57797,1
0.000147000,109,64623,1
0.000217000,109,5631,1
0.000196000,109,691,1
0.000146000,109,5631,1
0.000147000,109,691,1
0.000218000,109,515,1
0.000197000,109,5811,1
0.000146000,109,6006,1
0.000144000,109,515,1
0.000145000,109,5811,1
0.000256000,109,6006,1
0.000235000,103,40178,1
0.000234000,103,40178,1
0.000232000,103,40178,1
0.000232000,103,40178,1
0.000267000,109,9500,1
0.000147000,103,40178,1
0.000152000,109,9500,1
0.000144000,103,40178,1
0.000150000,103,40178,1
0.000145000,103,40178,1
0.000221000,109,1277,1
0.000246000,109,1147,1
0.000149000,109,1277,1
0.000145000,109,1147,1
0.000218000,109,28201,1
0.000146000,103,40178,1
0.000217000,103,40178,1
0.000220000,103,40178,1
0.000222000,103,40178,1
0.000256000,109,28201,1
0.000147000,103,40178,1
0.000146000,103,40178,1
0.000150000,103,40178,1
0.000145000,103,40178,1
0.000224000,103,40178,1
0.000230000,103,40178,1
0.000222000,103,40178,1
0.000146000,109,7999,1
0.000145000,103,40178,1
0.000150000,103,40178,1
0.000252000,103,40178,1
0.000144000,109,7999,1
0.000219000,109,1038,1
0.000144000,109,25734,1
0.000144000,109,1038,1
0.000148000,109,25734,1
0.000221000,109,1106,1
0.000290000,109,1106,1
0.000149000,103,40178,1
0.000313000,103,40178,1
0.000218000,103,40178,1
0.000151000,103,40178,1
0.000145000,103,40178,1
0.000222000,109,4449,1
0.000145000,103,40178,1
0.000766000,109,54045,1
0.000157000,109,4449,1
0.000201000,109,54045,1
0.000151000,103,40178,1
0.000220000,109,12000,1
0.000193000,109,3007,1
0.000150000,109,4900,1
0.000073000,103,40178,1
0.000269000,103,40178,1
0.000146000,109,12000,1
0.000200000,109,3007,1
0.000146000,103,40178,1
0.000150000,103,40178,1
0.000267000,109,4900,1
0.000072000,109,4900,1
0.000146000,109,1021,1
0.000117000,109,1021,1
0.000143000,109,1002,1
0.000117000,109,1002,1
0.000145000,103,40178,1
0.000274000,103,40178,1
0.000155000,109,4900,1
0.000205000,109,1021,1
