TimeDelta,Length,Port,Attack
0.000213000,1483,443,0
0.000229000,262,443,0
0.000268000,734,443,0
0.000134000,734,443,0
0.033033000,115,36646,0
0.000337000,115,36646,0
0.000147000,115,36646,0
0.057546000,191,36646,0
0.000076000,191,36646,0
0.000825000,191,36646,0
0.000190000,161,36646,0
0.000152000,172,36646,0
0.000147000,250,36646,0
0.000215000,177,36646,0
0.000268000,115,443,0
0.000502000,115,443,0
0.000389000,169,36646,0
0.011926000,1483,443,0
0.000383000,1483,443,0
0.000228000,262,443,0
0.000282000,1483,443,0
0.000231000,205,443,0
0.012142000,1483,443,0
0.000523000,1483,443,0
0.000647000,1483,443,0
0.000194000,1483,443,0
0.000347000,262,443,0
0.000238000,1483,443,0
0.002624000,1483,443,0
0.000174000,1483,443,0
0.000145000,205,443,0
0.000331000,807,443,0
0.000273000,152,443,0
0.014588000,115,36646,0
